Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Hıyanet Sarmalı,Ser Film,1,23 Ekim 2013 - 25 Haziran 2014,Dram Aksiyon,Samanyolu TV,Ali Başar Emre Taşkıran Cem Uçan
Bay Yanlış,Gold Film,1,26 Haziran 2020 - 2 Ekim 2020,Romantik komedi,FOX,Can Yaman Özge Gürel
Uyanış: Büyük Selçuklu,Akli Film,1,28 Eylül 2020 - 31 Mayıs 2021,Tarihî Kurgu Aksiyon Dram,TRT 1,Buğra Gülsoy Ekin Koç Hatice Şendil Gürkan Uygun Sezin Akbaşoğulları Sevda Erginci Mehmet Özgür Leyla Lydia Tuğutlu Cemal Toktaş İlker Kızmaz Ali Gözüşirin Leyla Feray Pınar Töre Bülent Alkış
Hatırla Sevgili,Sis Yapım,2,7 Kasım 2006 - 6 Haziran 2008,Dram Romantik Tarihî,atv,Cansel Elçin Beren Saat Okan Yalabık
Aile İşi,NTC Medya,1,17 Şubat 2016 - 25 Mayıs 2016,Komedi Dram Aile,atv,Ufuk Özkan Pelin Akil Hasibe Eren Gülay Baltacı Sait Genay Murat Akkoyunlu Can Bonomo Özgür Emre Yıldırım Osman Wöber
Süper Baba,Kare Ajans,4,25 Eylül 1993 - 6 Haziran 1997,Dram,atv,Şevket Altuğ Jülide Kural Seray Gözler Sümer Tilmaç İsmet Ay Şevval Sam Bennu Yıldırımlar
Mehmetçik Kut'ül Amare,Bozdağ Film,2,18 Ocak 2018 - 31 Ocak 2019,Tarihî Kurgu Savaş,TRT 1,Kaan Taşaner İsmail Hacıoğlu İsmail Ege Şaşmaz Cansu Tosun Özgü Kaya İlker Aksum Serdar Gökhan
Gümüş,D Productions,3,20 Ocak 2005  ( 2005-01-20 ) [1] [2] [3] [4]  -  16 Haziran 2007  ( 2007-06-16 ),Dram Romantik,Kanal D  (2005-2007),Kıvanç Tatlıtuğ Songül Öden Ekrem Bora
Küçük Besleme,"Yeni Yapımlar Yönder Ltd,Şti",3,19 Mayıs 1999 - 30 Kasım 2001,Dram,Star TV  (1999-2001),Tomris Oğuzalp Nur Kulakoğlu Esmeray Gökhan Eğilmezbaş Kuzey Vargın
Kuruntu Ailesi,TRT,5,10 Ekim 1985 - 29 Aralık 1990,Komedi Sitcom,TRT 1  (10 Ekim 1985-29 Aralık 1990),Gazanfer Özcan Gönül Ülkü Doğu Erkan Gazanfer Ündüz Fulya Özcan Zihni Göktay Can Kolukısa
Vay Anam Vay,D Productions,1,27 Kasım 2000  ( 2000-11-27 ) [1] [2]  -  18 Mayıs 2001  ( 2001-05-18 ) [3] [4] [5],Komedi,Kanal D,Nevra Serezli Atilla Olgaç Sıdıka Şenkan Ayhan Kavas Gülen Karaman Hakan Vanlı Burçak Işımer Metin Zakoğlu Saydam Yeniay Melike Güner Alev Cınbarcı Rüyam Olunçay Parkan Özturan Kaya Gürel Ezgim Kılınç Mustafa Uzunyılmaz Nesrin İşçi Nihal Menzil
Gülümse Yeter,MF Yapım,1,12 Temmuz 2016  ( 2016-07-12 )  -  17 Ocak 2017  ( 2017-01-17 ),Aile Komedi,Show TV,Erdal Özyağcılar Aslı Bekiroğlu Yılmaz Kunt Seray Kaya Pamir Pekin Sermet Yeşil
Aliye,TMC Film,3,14 Eylül 2004 - 17 Ekim 2006,Dram,atv  (2004-2006),Sanem Çelik Nejat İşler Halit Ergenç
Akıncı,NTC Medya,1,1 Ocak 2021 - 14 Mayıs 2021,Aksiyon,atv,Şükrü Özyıldız Büşra Develi
Halka,Es Film,1,15 Ocak 2019  ( 2019-01-15 )  -  28 Mayıs 2019  ( 2019-05-28 ),Aksiyon Dram Polisiye Suç,TRT 1,Nazan Kesal Serkan Çayoğlu Kaan Yıldırım Hande Erçel Hazal Subaşı Ahmet Mümtaz Taylan
Kalp Atışı,MF Yapım,1,30 Haziran 2017 - 28 Ocak 2018,Dram Romantik Medikal,Show TV,Gökhan Alkan Öykü Karayel
Kurtuluş,,1,22 Mart 1994  ( 1994-03-22 ) [1]  -  26 Nisan 1994  ( 1994-04-26 ) [2],Tarihî,TRT 1,Rutkay Aziz Mahmut Cevher Savaş Dinçel Altan Erkekli Ayda Aksel Macide Tanır
Keşanlı Ali Destanı,D Productions,1,10 Aralık 2011 - 5 Mayıs 2012,Epik Dram Politik,Kanal D,Nejat İşler Belçim Bilgin
Kınalı Kuzular,,1,28 Kasım 2006 - 20 Şubat 2007,Tarihî,TRT 1,
Kış Güneşi,Endemol Shine Turkey,1,23 Şubat 2016 - 21 Haziran 2016,Dram Romantik,Show TV,Şükrü Özyıldız Aslı Enver Şenay Gürler Mahir Günşiray Başak Parlak Hakan Gerçek Berrak Kuş Mehmet Esen Hakan Boyav
Hicran,Filmevi Yapım Inter Medya,1,7 Kasım 2022 - 30 Haziran 2023,Dram,Kanal D,Nisa Sofia Aksongur Elçin Zehra İrem Berk Bakioğlu
Makina Kafa,Makina Medya Yapımevi,1,5 Ekim 2013  ( 2013-10-05 )  -  30 Mayıs 2014  ( 2014-05-30 ),Talk show,Show TV,
Görgüsüzler,Erler Film,1,13 Ocak 2008  ( 2008-01-13 ) [1] [2] [3]  -  17 Şubat 2008  ( 2008-02-17 ) [4] [5] [6],Komedi,atv,Melek Baykal Zeki Alasya Çağla Şikel Mert Öcal Levent Ülgen Zihni Göktay Ümit Yesin Veysel Diker Şeyla Halis Bahar Öztan
Aşk-ı Memnu,Ay Yapım,2,4 Eylül 2008 - 24 Haziran 2010,Dram Romantik,Kanal D  ( HD ),Beren Saat Kıvanç Tatlıtuğ Selçuk Yöntem Hazal Kaya Nebahat Çehre Zerrin Tekindor Nur Fettahoğlu
Aşk Laftan Anlamaz,Tims Productions,1,15 Haziran 2016 - 19 Şubat 2017,Romantik komedi,Show TV  ( HD )   (2016-2017),Hande Erçel Burak Deniz
Türkan,Koliba Film,1,23 Eylül 2010 - 14 Nisan 2011,Dram,Kanal D  ( HD ),Pınar Öğün Saygın Soysal Özgürcan Çevik
Güldünya,TMC,1,29 Ekim 2008 - Şubat 2009,Dram,Star TV  (2008-2009),Sanem Çelik Yeliz Doğramacılar Songül Öden
Baba,Ay Yapım,2,15 Şubat 2022 - 27 Aralık 2022,Dram,Show TV,Haluk Bilginer Tolga Sarıtaş
Genco,D Productions,1,3 Temmuz 2007 - 28 Haziran 2008,,Kanal D,Alpay Kemal Atalan Selen Seyven Hazal Kaya
İçerde,Ay Yapım,1,19 Eylül 2016 - 19 Haziran 2017,Aksiyon Polisiye Dram,Show TV,Çağatay Ulusoy Aras Bulut İynemli Çetin Tekindor Mustafa Uğurlu
Son Nefesime Kadar,Pastel Film,1,23 Şubat 2022 - 23 Mart 2022,Dram Polisiye,FOX,Nurgül Yeşilçay Emre Kınay Ertan Saban
Kayıtdışı,Karga Seven Pictures,1,18 Eylül 2017 - 27 Kasım 2017,Aksiyon Derin devlet Mafya Politik,FOX,Erkan Petekkaya Songül Öden Dolunay Soysert İsmail Hacıoğlu Ahmet Mekin Bahar Şahin Serdar Orçin Rutkay Aziz
Hürrem Sultan,Medyapım,1,2003 - 2003,Tarihî,Star TV  (2003),Gülben Ergen Ali Sürmeli Hatice Aslan Serdar Deniz
Kiraz Mevsimi,Süreç Film,2,4 Temmuz 2014 - 28 Kasım 2015,Aşk Gençlik Romantik komedi,FOX  (2014-2015) teve2  (2018) (tekrar),Özge Gürel Serkan Çayoğlu Dağhan Külegeç Nilperi Şahinkaya
Sol Yanım,BKM Yapım,1,26 Kasım 2020 - 17 Şubat 2021,Dram,Star TV,Özge Yağız Tolga Mendi Cemre Baysel Emre Bey Defne Samyeli Cansel Elçin
Yalancı,Süreç Film,1,17 Eylül 2021 - 23 Kasım 2021,Dram Psikolojik gerilim,Show TV,Burçin Terzioğlu Salih Bademci
Yeşeren Düşler,Ser Film,2,10 Aralık 2006  ( 2006-12-10 ) [1] [2] [3]  -  24 Haziran 2008  ( 2008-06-24 ) [4] [5],Dram,Samanyolu TV,Bilgehan Birincioğlu Gülşah Şahin
Leke,TIMS&B Productions,1,16 Nisan 2019 - 18 Haziran 2019,Dram Aile,Kanal D,Burak Sevinç Melis Sezen
Acı Hayat,Sinegraf,2,14 Aralık 2005  ( 2005-12-14 ) [1] [2] [3]  -  18 Haziran 2007  ( 2007-06-18 ) [4] [5] [6],Dram Aksiyon,Show TV,Kenan İmirzalıoğlu Selin Demiratar Oğuz Galeli Ebru Kocaağa Ahmet Yenilmez Murat Soydan Meral Orhonsay Ferdi Merter Anta Toros
Doksandokuz,,,2008 - 2008,Dram Dinî,Kanal 7,
Benim Adım Gültepe,D Productions,1,3 Eylül 2014 - 3 Kasım 2014,Dram,Kanal D,Mete Horozoğlu Ayça Bingöl İlker Kızmaz
Dostlar Mahallesi,Erler Film,1,16 Aralık 2017 - 30 Aralık 2017,Komedi Mahalle,Kanal D,Çağla Şikel Alişan Hande Katipoğlu Ersin Korkut Zeynep Eronat
Evlat Kokusu,Endemol Shine Turkey,1,8 Mart 2017 - 10 Mayıs 2017,Dram Aşk,Kanal D,Barış Kılıç Hande Soral Murat Han Sedef Avcı Yeşim Salkım Nail Kırmızıgül Selen Uçer
Barbaroslar: Akdeniz'in Kılıcı,Es Film,1,16 Eylül 2021 - 26 Mayıs 2022,Tarihî Kurgu Aksiyon Macera,TRT 1,Engin Altan Düzyatan Ulaş Tuna Astepe Yetkin Dikinciler Caner Topçu Yiğit Özşener Pelin Akil Bahadır Yenişehirlioğlu Emir Benderlioğlu Devrim Evin
Şefkat Tepe,,4,27 Kasım 2010 - 5 Temmuz 2014,Aksiyon Askeri Dram Savaş,Samanyolu TV,Mert Kılıç Ertuğrul Şakar Aslıhan Güner Dilara Büyükbayraktar Mehmet Korhan Fırat Bora Karakul Merve Akaydın Gülşah Küçükyıldız
Şeref Meselesi,D Productions,1,23 Kasım 2014 - 17 Mayıs 2015,Dram,Kanal D  ( HD ),Kerem Bürsin Şükrü Özyıldız
Merhamet,Most Production,2,13 Şubat 2013 - 12 Mart 2014,Dram,Kanal D,Özgü Namal İbrahim Çelikkol Mustafa Üstündağ Burçin Terzioğlu Yasemin Allen
Yabancı Damat,Erler Film,3,12 Kasım 2004 - 15 Haziran 2007,Dram,Kanal D  (2004-2007),Erdal Özyağcılar Sumru Yavrucuk Nehir Erdoğan Özgür Çevik Arif Erkin Zeki Alasya Binnur Kaya Tülin Oral Yılmaz Gruda
Harem,Tükenmezkalem Film,1,30 Eylül 2012  ( 2012-09-30 )  -  17 Haziran 2013  ( 2013-06-17 ),Sitcom,FOX  ( HD ),Levent Üzümcü Nurseli İdiz Belma Canciğer Başak Sayan Çiçek Dilligil Duygu Şen Zuhal Yalçın Önder Açıkbaş Mehmet Ali Erbil Serhan Arslan Gamze Karaman Ömür Özdemir Hande Katipoğlu
Muhteşem Yüzyıl: Kösem,Tims Productions,2,12 Kasım 2015 - 27 Haziran 2017,Tarihî Drama Aksiyon Yarıkurgu,Star TV  ( HD ) (2015-2016)  FOX  ( HD ) (2016-2017),1. sezon Beren Saat Ekin Koç Aslıhan Gürbüz Anastasia Tsilimpiou Hülya Avşar Tülin Özen 2. sezon Nurgül Yeşilçay Metin Akdülger Farah Zeynep Abdullah Tugay Mercan
Hayat Bugün,O3 Medya,1,19 Ekim 2022 - 7 Aralık 2022,Medikal Dram,Show TV,Ulaş Tuna Astepe Hazar Ergüçlü Tansel Öngel Hande Doğandemir
Ritmini Arayan Kalpler,,1,16 Kasım 2009  ( 2009-11-16 )  -  14 Haziran 2010  ( 2010-06-14 ),Dram,Samanyolu TV,Yaren Aynuz
Kusursuz Kiracı,MF Yapım,1,30 Ağustos 2022 - 4 Ekim 2022,Dram,FOX,Dilan Çiçek Deniz Serkay Tütüncü Bennu Yıldırımlar
Babil,Ay Yapım,2,17 Ocak 2020 - 20 Kasım 2020,Dram Psikolojik gerilim,Star TV,Halit Ergenç Ozan Güven Aslı Enver Birce Akalay Nur Fettahoğlu Mesut Akusta Onur Saylak
Aşk ve Ceza,TMC Film,2,5 Ocak 2010 - 27 Haziran 2011,Dram Aşk Romantik,atv,Murat Yıldırım Nurgül Yeşilçay Feride Çetin Tomris İncer Caner Kurtaran
Güneşin Kızları,Süreç Film,1,18 Haziran 2015 - 19 Mart 2016,Romantik Komedi Drama Aile,Kanal D,Emre Kınay Evrim Alasya Tolga Sarıtaş Burcu Özberk Hande Erçel Berk Atan
İçimizden Biri,Süreç Film,1,12 Eylül 2021 - 19 Ekim 2021,Aşk Komedi Dram,Show TV,Bora Akkaş Özge Yağız Mustafa Avkıran Derya Alabora Benian Dönmez Renan Bilek
Efsane,,1,2002 - 2002,Fantastik Polisiye Macera,Star TV  (2002),Şemsi İnkaya Tardu Flordun
Aşk ve Gurur,Limon Film,1,5 Mart 2017 - 11 Nisan 2017,Dram Aşk,"Show TV  (2017)  Show Max  (2019, tekrar)",Mert Fırat Damla Sönmez Alper Saldıran Tülin Özen Ahmet Rıfat Şungar
Aşk Ağlatır,MF Yapım,1,8 Eylül 2019 - 22 Aralık 2019,Dram,Show TV,Deniz Can Aktaş Hafsanur Sancaktutan Yağız Can Konyalı Eda Şölenci
Bir Umut Yeter,MF Yapım,1,27 Eylül 2018 - 12 Kasım 2018,Drama,Kanal D,Tolgahan Sayışman Esra Bilgiç Hazal Subaşı
Seksenler,MinT Motion Pictures,10,24 Ocak 2012 - 10 Haziran 2022,Sitcom Nostalji Romantik,TRT 1 Beyaz TV  (tekrar),Özlem Türkad Şoray Uzun Ayşe Tolga İlker Ayrık Zeynep Sever Eski başroller Rasim Öztekin Yasemin Baştan Serhat Kılıç Ceyhun Fersoy
Bir Zamanlar Osmanlı,Herşey Film,2,12 Mart 2012 - 17 Aralık 2012,Tarihî,TRT 1  ( HD ),Türkân Şoray Özcan Deniz Aslı Tandoğan Cemal Hünal Tolga Karel Hâzım Körmükçü Fırat Tanış
Kalbimin Sultanı,Maya Productions,1,13 Haziran 2018 - 6 Ağustos 2018,Tarihî,Star TV,Ali Ersan Duru Alexandra Nikiforova Tansel Öngel Emel Çölgeçen
Dinle Sevgili,Base Yapım,2,20 Haziran 2011 - 28 Eylül 2012,Dram Aşk,FOX,Cem Kılıç
Kanıt,ANS Productions,3,8 Temmuz 2010 - 3 Şubat 2013,Polisiye,Kanal D  ( HD ),Sevil Atasoy Engin Benli Deniz Celiloğlu Tolga Karel
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,7,27 Eylül 1995 - 27 Aralık 2003,Aile Komedi,"atv  (1995-1998, 2000, 169 Bölüm) TRT 1  (2001-2003, 198 Bölüm)",Erol Günaydın Eşref Kolçak Ümit Yesin Bekir Aksoy Cengiz Küçükayvaz
Karayılan,,1,19 Kasım 2007 - 22 Nisan 2008,Tarihî Dram,atv,Bülent İnal Begüm Birgören Engin Akyürek
İsimsizler,Es Film Barakuda Film,2,27 Mart 2017  ( 2017-03-27 )  -  16 Aralık 2017  ( 2017-12-16 ),Polisiye Aksiyon Askeri Savaş,Kanal D,1. Sezon Uğur Güneş Algı Eke Bülent Alkış Taner Ertürkler Sedat Mert Çağkan Çulha Volkan Keskin Musab Ekici Sera Kutlubey 2. Sezon Uğur Güneş Hande Soral Kürşat Alnıaçık Bülent Alkış Çağkan Çulha Mert Öcal Musab Ekici Osman Wöber
Kasaba Doktoru,ARC Film,2,8 Nisan 2022 - 18 Ocak 2023,Medikal Dram Romantik,TRT 1,Ozan Akbaba Deniz Can Aktaş Hazal Subaşı
Halil İbrahim Sofrası,,1,31 Ağustos 2010 - 6 Haziran 2011,Komedi Aile Dram,TRT 1,Hasan Kaçan Kadir Çöpdemir Ahmet Yenilmez Burak Satıbol Seray Gözler Ayçe Abana Özlem Türay İnan Ulaş Torun Özge Sezince Varley Serkan Ercan
Gözlerinde Son Gece,Gold Film,1,16 Ekim 1996 - 15 Ocak 1997,Drama,Star TV,Türkan Şoray Rutkay Aziz Kaan Girgin Selen Yıldız Levent Özdilek Atilla Olgaç Bülent Bilgiç
Sana Bir Sır Vereceğim,Scor Films,1,5 Temmuz 2013 - 2 Şubat 2014,Aile Drama Fantastik,FOX,Murat Han Esra Ronabar Ekin Koç Demet Özdemir
Benim Annem Bir Melek,BKM Film İmaj  (post prodüksiyon),3,30 Mart 2008 - 10 Mayıs 2010,Aile Durum komedisi,atv  (2008-2009)  Star TV  (2009-2010)  a2  (tekrar),Oya Başar Tarık Ünlüoğlu Dolunay Soysert Ali Sunal Şehsuvar Aktaş Ayçin İnci
Küçük İbo,,4,1 Şubat 1997 - 29 Mayıs 2000,Dram Gerilim,Show TV,"İbrahim Küçük  (İbo), Bülent Bilgiç  (Hasan), Yasemin Koşal  (Aysel), Levent Üzümcü  (Raşit), Nazan Ersan  (Cemile), Selen Güzel  (Mine), Ceyda Ateş  (Elmas), Canan Kılıç  (Ayşe), Günyol Bakoğlu  (Mehmet), Nurhan Yılma  (Menekşe), Şinasi Yurtsever  (Selçuk) Canan Akgül  (Hatice) Merve Erdoğan  ()"
Baba Evi,Muhteşem Film,4,19 Eylül 1997 [1]  - 8 Haziran 2001,Dram,atv,Halil Ergün Deniz Gökçer Sevinç Erbulak Ayşegül Ünsal Altan Karındaş İsmet Ay İhsan Devrim
Bebek İşi,Limon Film,1,15 Temmuz 2013 - 4 Kasım 2013,Komedi,Show TV  (2013),Nurgül Yeşilçay Timur Acar
Sevgili Dünürüm,Gold Film,1,19 Ekim 2007 - Mayıs 2008,Durum komedisi,Star TV,Engin Altan Düzyatan Rojda Demirer Haluk Bilginer Sumru Yavrucuk
Can Kırıkları,,1,8 Ekim 2018 - 29 Ekim 2018,Aksiyon Dram,atv,Hande Doğandemir Funda Eryiğit Seçkin Özdemir Alican Yücesoy Özgür Çevik
Alacakaranlık,Paranoya TV,2,22 Ekim 2003 - 28 Mart 2005,Polisiye Macera Gerilim Aksiyon,Show TV,Uğur Yücel Kenan İmirzalıoğlu
Türkan Hanım'ın Konağı,,1,14 Eylül 2020 - 11 Haziran 2021,Aile Dram,TRT 1,Arzu Yanardağ Mürşit Ağa Bağ Ayşen İnci Okan Yiğit
Bir Derdim Var,Ay Yapım AyNA Yapım,1,9 Kasım 2023 - 14 Aralık 2023,Dram,Kanal D,Birce Akalay Mert Fırat
Hayatımın Şansı,NTC Medya,1,14 Aralık 2022 - 10 Mart 2023,Dram,FOX,Alican Yücesoy Şifanur Gül Erkan Avcı Musa Uzunlar
Yağmurdan Sonra,,1,21 Eylül 2006  ( 2006-09-21 ) [1]  -  28 Haziran 2007  ( 2007-06-28 ),Dram,Samanyolu TV,Seçil Mutlu Yıldız Çağrı Atiksoy Ali Sürmeli Atilla Olgaç Kayra Şenocak Sefa Zengin
Kara Para Aşk,Ay Yapım,2,12 Mart 2014 - 15 Temmuz 2015,Aksiyon Polisiye Dram,atv  ( HD ),Engin Akyürek Tuba Büyüküstün Erkan Can Saygın Soysal Nebahat Çehre Burak Tamdoğan
O Kız,Content House,1,21 Eylül 2022 - 15 Mart 2023,Dram,Kanal D,Erkan Petekkaya Sezin Akbaşoğulları Rojda Demirer Dilin Döğer Ali Öner Cengiz Orhonlu
N'olur Ayrılalım,Sinegraf,1,15 Temmuz 2016 - 12 Ağustos 2016,Romantik komedi,FOX,Nilay Duru Aras Aydın Gürgen Öz Nilperi Şahinkaya
Diriliş Ertuğrul,Tekden Film,5,10 Aralık 2014 - 29 Mayıs 2019,Tarihî Kurgu Aksiyon Macera Dram,TRT 1  ( HD ) TRT İzle  (Dijital) YouTube TV  (Dijital) Netflix  (Uluslararası),Engin Altan Düzyatan Kaan Taşaner Hülya Darcan Esra Bilgiç Didem Balçın Serdar Gökhan Hakan Vanlı Serdar Deniz Levent Öktem Hande Subaşı Burcu Kıratlı Barış Bağcı Uğur Güneş Ayberk Pekcan Osman Soykut Mehmet Çevik Sezgin Erdemir Kürşat Alnıaçık Cem Uçan Erden Alkan Gülsim Ali Gülçin Santırcıoğlu Murat Garipağaoğlu Çağdaş Onur Öztürk Cengiz Coşkun Cavit Çetin Güner Nurettin Sönmez Cemal Hünal Burak Hakkı Batuhan Karacakaya Hande Soral İlker Aksum Ali Ersan Duru
Böyle Bitmesin,AT Yapım,2,21 Eylül 2012 - 6 Haziran 2014,Dram Polisiye Sosyal,TRT 1  ( HD ),Yeliz Kuvancı  Nergis Öztürk Cemal Toktaş
Zerda,TMC,2,26 Eylül 2002 - 3 Haziran 2004,Drama,atv,Yavuz Bingöl  (1-41) Ece Uslu Burak Sergen Güven Hokna Halit Ergenç Hülya Şen
Yalaza,Sinegraf,1,16 Eylül 2017  ( 2017-09-16 )  -  5 Şubat 2018  ( 2018-02-05 ),Komedi Aile,TRT 1,Sinan Albayrak Didem Balçın İpek Tuzcuoğlu Hasan Kaçan Kadir Çöpdemir
İçimizdeki Ateş,Fabrika Yapım,1,23 Haziran 2022 - 21 Temmuz 2022,Dram Romantik komedi,atv,Burak Sevinç Ceren Benderlioğlu İpek Filiz Yazıcı Atakan Hoşgören Gizem Arıkan
Kara Melek,Eylül TV,4,19 Şubat 1997 - 19 Ocak 2000,Macera Dram,Star TV,Sanem Çelik Ece Uslu Mustafa Alabora Toprak Sergen Ziya Kürküt Zehra Alptürk Aliye Uzunatağan Sevtap Çapan Memet Ali Alabora Şenay Gürler Ebru Akel Yağmur Kaşifoğlu  ve  Zerrin Arbaş
Belalı Baldız,Medyapım,1,11 Eylül 2005 - 22 Haziran 2006,Komedi Aile,atv,Nurgül Yeşilçay Berna Laçin Kenan Işık Mehmet Aslan Cemre Özer Sedef Şahin Raffaele Cedolini Selin Denizli
Mavera,Es Film,1,12 Nisan 2021 - 7 Mayıs 2021,Tarihî Dram Dîni,TRT 1,Korel Cezayirli Görkem Sevindik Tansel Öngel Sinan Tuzcu Hasan Küçükçetin Recep Usta Zara Ferit Kaya Mehmet Korhan Fırat Hakan Adrian Can Evren Erler Nusret Çetinel
Karışık İş,,1,20 Eylül 1991  ( 1991-09-20 )  -  22 Kasım 1991  ( 1991-11-22 ),Komedi,Star TV,Gazanfer Özcan Gönül Ülkü Füsun Önal İsmail İncekara Saltuk Kaplangı Gazanfer Ündüz Fulya Özcan Çiçek Dilligil Göksel Kortay
Benim İçin Üzülme,Boyut Film,2,6 Kasım 2012 - 29 Nisan 2014,Dram,atv  (2012-2013)  Show TV  (2013-2014),Fulya Zenginer Tansel Öngel Çağlar Ertuğrul Öykü Çelik Rana Cabbar Beyazıt Gülercan
Başlık Bulunamadı,,,,,,
Kavak Yelleri,Tims Productions,5,31 Mayıs 2007 - 30 Ağustos 2011,Gençlik Dram,Kanal D,Dağhan Külegeç Pelin Karahan İbrahim Kendirci Aslı Enver Sarp Apak Ceren Moray  Cemil Büyükdöğerli  Ferit Aktuğ Lale Mansur
Medcezir,Ay Yapım,2,13 Eylül 2013 - 12 Haziran 2015,Gençlik Drama,Star TV  (2013-2015),Çağatay Ulusoy Serenay Sarıkaya
Kaçak,Süreç Film,2,24 Eylül 2013 - 3 Şubat 2015,Polisiye Aksiyon Macera Mafya,atv  ( HD ),Gürkan Uygun Hasan Küçükçetin İnanç Konukçu Berk Hakman Mustafa Avkıran Begüm Birgören Burak Deniz Metin Coşkun Yosi Mizrahi Haluk Bilginer Yağmur Tanrısevsin  ve  diğerleri
Şeref Sözü,TIMS&B Productions,1,14 Ekim 2020 - 4 Kasım 2020,Aksiyon Dram,Show TV,Tolgahan Sayışman Sude Güler
Ramo,BKM,2,14 Ocak 2020 - 16 Nisan 2021,Aksiyon Dram,Show TV,Murat Yıldırım Esra Bilgiç İlker Aksum Mehmet Yılmaz Ak Olgun Şimşek Yiğit Özşener
Sen Anlat Karadeniz,Sinegraf,3,24 Ocak 2018 - 13 Kasım 2019,Dram,atv,Ulaş Tuna Astepe İrem Helvacıoğlu Mehmet Ali Nuroğlu
Fırıldak Nuri,,1,7 Mart 1995 - 4 Nisan 1995,Komedi,Star TV,Mehmet Ali Erbil Hamdi Alkan Baykal Kent
Erkenci Kuş,Gold Film,1,26 Haziran 2018 - 6 Ağustos 2019,Romantik komedi,Star TV,Can Yaman Demet Özdemir
Nefes Nefese,TMC Film,1,1 Ağustos 2018 - 14 Ekim 2018,Dram Aksiyon,Star TV,Şükrü Özyıldız Melisa Şenolsun Uğur Yücel
Eyvah Babam,,2,3 Ekim 1998  ( 1998-10-03 ) [1]  -  15 Mart 2000  ( 2000-03-15 ) [1] [2] [3],,Kanal D,
Yahşi Cazibe,Süreç Film,2,16 Temmuz 2010 - 16 Haziran 2012,Romantik komedi Sit-com,atv  ( HD ) a2,Hakan Yılmaz Aslıhan Gürbüz  (1-92) Gökçe Özyol Hande Katipoğlu Ege Kökenli Bekir Aksoy Sezai Aydın Serhan Arslan
Alın Yazım,Düş Gezginleri Film,2,1 Eylül 2014 - 16 Ekim 2015,Dram Gençlik,Kanal D  ( HD ) (2014-2015) TV 2  (HD) (Tekrar bölümleri) 2M TV  (Marruecos) TVN  (HD) (Chile) Telefuturo  (Paraguay),Duygu Keser Ozan Dağgez Yeşim Gül Orhan Aydın Deniz Durmaz Ayberk Aladar
Vatanım Sensin,O3 Medya,2,27 Ekim 2016 - 7 Haziran 2018,Tarihî Dram,Kanal D,Halit Ergenç Bergüzar Korel
Badem Şekeri,ANS Productions,1,3 Temmuz 2017 - 20 Aralık 2017,Romantik komedi,FOX,Burcu Özberk Alper Saldıran Mehmet Atay Taner Taneri
Yeşil Deniz,TFT Yapım,2,24 Ekim 2014 - 30 Mayıs 2016,Romantik komedi Dram,TRT 1  ( HD ),Burak Serdar Şanal Mert Turak Burak Alkaş Ali Barkın Melis Babadağ Öykü Çelik
Poyraz Karayel,Limon Film,3,7 Ocak 2015 - 1 Mart 2017,Polisiye Aşk Dram Eğlence,Kanal D  ( HD ),İlker Kaleli Burçin Terzioğlu Musa Uzunlar
Kara Sevda,Ay Yapım,2,14 Ekim 2015 - 21 Haziran 2017,Aşk Drama,Star TV  ( HD ),Burak Özçivit Neslihan Atagül Kaan Urgancıoğlu
Aşk Kapıyı Çalınca,Koliba Film,1,10 Temmuz 2007 - 28 Ağustos 2007,Dram Duygusal,Star TV  (2007),Burak Kut Burak Davutoğlu Erdal Küçükkömürcü Bahar Öztan Aslı Yılmaz Nihal Menzil İpek Erdem Bersun Goriça Deniz Özmen Hümeyra Aydoğdu Selçuk Özdoğan Serap Matyaş Serkan Uzuner Çağlar Tüfekçi Gökhan Özaras Semra Kaygun
Menajerimi Ara,Ay Yapım,1,25 Ağustos 2020 - 11 Temmuz 2021,Drama Komedi,Star TV,Barış Falay Canan Ergüder Fatih Artman Serhat Teoman Ahsen Eroğlu Deniz Can Aktaş Ayşenil Şamlıoğlu Özge Borak
Yedi Numara,,3,23 Ekim 2000  ( 2000-10-23 ) [1]  -  23 Haziran 2003  ( 2003-06-23 ) [2],Gençlik Komedi,TRT 1,Şebnem Sönmez Engin Alkan Tuba Erdem Okan Selvi Ayça Mutlugil Nuray Uslu Gülden Güney Volkan Girgin
Düşman Kardeşler,Sinetel Film,1,5 Temmuz 2012 - 17 Eylül 2012,Komedi,Show TV,Tarık Papuççuoğlu Murat Eken Kaan Urgancıoğlu Oya Aydoğan Hande Subaşı Burcu Biricik
Suskunlar,Tims Productions,2,1 Mart 2012 - 2 Aralık 2012,Dram Gerilim,Show TV  (2012),Murat Yıldırım Sarp Akkaya Güven Murat Akpınar Aslı Enver Berk Hakman Pelin Akil
Hepimiz Birimiz İçin,Artı Film,1,3 Temmuz 2008 - 31 Temmuz 2008,Romantik komedi Dram,Kanal D,Seda Güven Buğra Gülsoy
Bitmeyen Şarkı,Gold Film,1,23 Ağustos 2010 - 26 Nisan 2011,Aşk Drama,atv,Bergüzar Korel Bülent İnal
