Title,Yapımşirketi,Yönetmen,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Hayati ve Diğerleri,1441 Productions,Metin Balekoğlu,1,19 Kasım 2017 - 17 Temmuz 2018,Komedi -  - Polisiye,Kanal D,Celil Nalçakan -  - Günay Karacaoğlu -  - Levent Ülgen -  - Bülent Çolak -  - Bahtiyar Engin -  - İbrahim Selim -  - Gökhan Kıraç -  - Aybike Esin Tumluer -  - Tolga Deniz -  - Edip Tepeli
Çocuklar Ne Olacak,Mint Prodüksiyon,Raşit Çelikezer,1,15 Eylül 2004 - 6 Mayıs 2005,Aile -  - Komedi,Star TV -  (2004-2005),Ayşecan Tatari -  - Furkan Kızılay -  - Özgür Ozan -  - Zeyno Günenç -  - Ferdi Akarnur -  - Ayşen Tekin
Mihriban,TRT Gold Film,Yalçın Yelence,1,2002 - 2003,Dram,TRT 1,Hülya Koçyiğit -  - Sevinç Gürşen Akyıldız -  - Lemi Filozof -  - Erdal Özyağcılar -  - Oktay Korunan -  - Ebru Gediz -  - Cevdet Arıcılar
Kocamın Ailesi,Mia Yapım,Kemal Uzun,2,3 Temmuz 2014 - 11 Kasım 2015,Aile -  - Romantik komedi -  - Dram,FOX -  ( - HD - ),Gökhan Alkan -  - Yeliz Kuvancı -  - Selen Seyven
Zehirli Çiçek,Erler Film,Temel Gürsu -  - 	Samim Değer,2,21 Mart 2000  ( 2000-03-21 ) [1]  -  26 Aralık 2000  ( 2000-12-26 ) [2],Dram -  - Gerilim,Show TV,Tuğba Özay -  - Çağla Şıkel -  - Aysun Kayacı -  - Özlem Savaş -  - Burak Hakkı -  - Kerem Alışık -  - Faruk Peker -  - Tarık Tarcan -  - Karahan Çantay -  - Levent Özdilek -  - Petek Dinçöz -  - Zuhal Topal -  - Sibel Gökçe -  - Güneş Berberoğlu -  - Efgan Efekan -  - Ahmet Uz -  - Semra Dinçer -  - Orçun Sonat
Yeni Hayat,OJO Pictures,Başak Soysal -  - Cem Özüduru,1,3 Eylül 2020 - 29 Ekim 2020,Aksiyon -  - Dram,Kanal D,Serkan Çayoğlu -  - Melisa Aslı Pamuk -  - Tayanç Ayaydın -  - Nilperi Şahinkaya
Koçum Benim,Replik Ajans,Vecihi Ener -  - Serdar Akar,2,7 Mart 2002 - 4 Nisan 2003,Komedi -  - Aile,TRT 1 -  (2002-2003),Tarık Akan -  - Ebru Cündübeyoğlu -  - Engin Altan -  - Sevil Üstekin -  - Zihni Göktay -  - Ozan Güven -  - Yunus Günçe
Şaşıfelek Çıkmazı,TRT,Mahinur Ergun -  - (1996-1998) -  - Çağan Irmak -  (2001),4,1996-1998,Drama,"TRT 1 -  (1996-1998), (2001)",Derya Alabora -  - Zuhal Gencer -  - Fikret Kuşkan -  - Füsun Demirel -  - Dilaver Uyanık -  - Suzan Aksoy -  - Mahperi Mertoğlu -  - Aysun Metiner -  - Hakan Tanfer
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,24 Ekim 1994 - 25 Aralık 1994,Dram,atv,Türkân Şoray -  - Can Gürzap -  - Faruk Peker
Utanmaz Adam,Koliba Film,Tunca Yönder,1,1998,Komedi,atv -  (1998),Okan Bayülgen -  - Zafer Algöz -  - Bennu Yıldırımlar -  - Settar Tanrıöğen
İstanbul’un Altınları,Calinos Entertainment,Haluk Özenç,1,5 Ağustos 2011 - 13 Aralık 2011,Komedi,atv,Haluk Bilginer -  - Demet Akbağ -  - Salih Kalyon
Canan,Koliba Film,Bahadır İnce,2,9 Şubat 2011 - 19 Ekim 2011,Dram,FOX,Gamze Özçelik -  - Özlem Conker -  - Ragıp Savaş -  - Erdinç Gülener -  - Neriman Uğur -  - Mehmet Atay
Melekler Korusun,Tims Productions,Cevriye Demir -  - Kerem Çakıroğlu,2,1 Ocak 2009 - 6 Ağustos 2010,Dram -  - Gençlik,Show TV -  (2009-2010),Özge Özpirinçci -  - Selin Şekerci -  - Rojda Demirer -  - Hümeyra -  - Avni Yalçın -  - Serkan Altunorak -  - Mahperi Mertoğlu -  - Yıldız Kültür -  - Alper Saldıran -  - Ömer Köse -  - Taner Barlas -  - Cem Aktaş  -  - Şebnem Gürsoy -  - Şamil Kafkas -  - Zeynep Köse -  - Ceylan Dizdar -  - Cansın Özyosun
Şubat Soğuğu,Ser Film,Murat Saraçoğlu -  (1-6) -  - Gürsel Ateş (7-14) -  - Etka Yeşiltepe (15) -  - Sabri Saydam (16-28) -  - Demir Keskin (29-63) -  - Avni Kütükoğlu (64-78),2,21 Eylül 2004  ( 2004-09-21 ) [1]  -  30 Haziran 2006  ( 2006-06-30 ) [2] [3],Dram -  - Polisiye,Samanyolu TV,Kenan Bal -  - Suavi Eren
Ayşecik,Koliba Film,Ayhan Önal -  - Gürsel Ateş,2,25 Temmuz 1997 - 22 Mart 2000,Drama,Show TV -  (1997-2000),Ecem Kanun
Güvercin,Pastel Film,Altan Dönmez,1,24 Kasım 2019 - 28 Ekim 2020,Dram,Star TV -  (2019-2020),Mehmet Ali Nuroğlu -  - Almila Ada -  - Menderes Samancılar -  - Nursel Köse
Arka Sıradakiler,MinT Prodüksiyon Best Prodüksiyon,"Hamdi Alkan -  - (1-160, 171-193) -  - Ali Bilgin -  (161-170)",6,30 Eylül 2007 - 10 Haziran 2012,Gençlik -  - Dram,FOX -  (2007-2011)  -  - TNT -  (2012),Bülent Emin Yarar -  - Bülent Çetinaslan -  - Sinem Öztürk -  - Barış Atay Mengüllü -  - Pelin Akil -  - Fırat Çöloğlu
Avlu,Limon Film,Yüksel Aksu -  (1-44) -  - Hülya Gezer -  (2-44) -  - Şafak Bal -  (2-44),2,29 Mart 2018 - 30 Mayıs 2019,Dram -  - Suç,Star TV,Demet Evgar -  - Ceren Moray -  - Nursel Köse
İki Dünya Arasında,Ser Film,Fatih Derin -  - Muhammet Gök,4,2 Temmuz 2012 - 13 Kasım 2015,Dram -  - Aile,Samanyolu TV,İnanç Ömer Benlioğlu -  - Başak Zebil -  - Sevinç Kumaş -  - Gökben Derviş
Hakim,Limon Film,Erkan Tunç (1-4) -  - Süleyman Mert Özdemir (1-5) -  - Osman Taşcı -  (6-7) -  - Günay Günaydın -  (8-10),1,4 Nisan 2022 - 13 Haziran 2022,Dram -  - Suç -  - Aksiyon,atv,Erdal Beşikçioğlu -  - Ebru Özkan -  - Uğur Yücel -  - Yurdaer Okur
Acemi Cadı,D Productions,Feride Kaytan,2,7 Temmuz 2006 - 21 Eylül 2007,Fantastik -  - Komedi,Kanal D -  (2006-2007) -  - Star TV -  (2007),Merve Boluğur -  - Şenay Gürler -  - Nergis Kumbasar -  - Çağkan Çulha
Çarpışma,Ay Yapım,"Uluç Bayraktar -  (1-6, 10-24) -  - Ahmet Katıksız -  (7-9) -  - Ufuk Hakan Eren (7-9)",1,22 Kasım 2018 - 30 Mayıs 2019,Aksiyon -  - Dram -  - Polisiye,Show TV,Kıvanç Tatlıtuğ -  - Elçin Sangu -  - Onur Saylak -  - Melisa Aslı Pamuk -  - Alperen Duymaz
Aziz,O3 Medya,Recai Karagöz (1-28),1,5 Kasım 2021 - 3 Haziran 2022,Aksiyon -  - Dram -  - Tarihî,Show TV,Murat Yıldırım -  - Damla Sönmez -  - Simay Barlas
Merhaba Hayat,Medyapım,Hülya Bilban,1,9 Ekim 2012 - 13 Şubat 2013,Medikal -  - Drama,FOX -  ( - HD - ),Vahide Perçin -  - Yetkin Dikinciler
Tutsak,1441 Prodüksiyon,Serhan Şahin,1,19 Eylül 2017 - 14 Kasım 2017,Dram,Kanal D,Pamir Pekin -  - Gülper Özdemir -  - Caner Şahin
O Hayat Benim,Pastel Film,Merve Girgin -  - Yıldız Hülya Bilban -  - Hamdi Alkan -  - Sadullah Şentürk,4,16 Şubat 2014 - 2 Mayıs 2017,Aşk -  - Drama,FOX,Ezgi Asaroğlu -  - Keremcem -  - Ceren Moray
Muhteşem İkili,TMC Film,Çağatay Tosun,1,1 Kasım 2018 - 12 Şubat 2019,Aksiyon -  - Dram -  - Komedi -  - Polisiye,Kanal D,İbrahim Çelikkol -  - Kerem Bürsin -  - Özge Gürel -  - Öykü Karayel
Eski Hikaye,ARC Film,Bahadır İnce,1,2 Ekim 2013 - 12 Şubat 2014,Dram,TRT 1,Buğra Gülsoy -  - Funda Eryiğit -  - Murat Daltaban -  - Damla Debre -  - Sermet Yeşil -  - Ali Barkın -  - Osman Alkaş -  - Tayfun Eraslan -  - Ferda Işıl -  - Songül Sevdik -  - Sinan Demirer -  - Diren Polatoğulları -  - Mehmet Esen -  - Sedef Akalın
Yaz Şarkısı,Pastel Film,Doğa Can Anafarta,1,9 Temmuz 2023 - 27 Ağustos 2023,Romantik komedi,FOX,Nilsu Berfin Aktaş -  - Mustafa Mert Koç -  - Efekan Can
Yılanların Öcü,Koliba Film,Cemal Şan,2,27 Ağustos 2014 - 2 Aralık 2015,Dram,Show TV -  ( - HD - ),Cemal Toktaş -  - Hande Soral -  - Ahmet Varlı -  - Gözde Çığacı -  - Nail Kırmızıgül -  - Mehmet Atay -  - Gonca Yakut -  - Rüçhan Çalışkur -  - Şebnem Dilligil -  - Servet Pandur -  - Hande Kaptan -  - Nalan Örgüt -  - Süleyman Karaahmet -  - Burak Can -  - Sibel Şişman -  - Ceyda Kasabalı
Seni Kimler Aldı,Pastel Film,Sadullah Şentürk,1,30 Nisan 2017 - 9 Temmuz 2017,Dram,atv,Merve Anlağan -  - Yunus Günçe -  - Fulya Zenginer -  - Duygu Yetiş -  - Serhan Yavaş -  - Yiğit Kirazcı
Dila Hanım,Gold Film,Onur Tan -  (2012) -  - Aydın Bulut -  (2012-2013) -  - Nihat Durak -  (2013-2014) -  - Adnan Güler -  (2014),2,14 Eylül 2012 - 25 Nisan 2014,Aşk -  - Drama,Star TV -  ( - HD - ) (2012-2013)  -  - Show TV -  ( - HD - ) (2013-2014),Erkan Petekkaya -  - Hatice Şendil -  - Mahir Günşiray -  - Hülya Darcan -  - Necip Memili -  - Yonca Cevher -  - Emre Melemez -  - Görkem Mertsöz
Kül ve Ateş,Asis Film,Cemile Kırmızı Karadaş,1,14 Eylül 2009 - 9 Kasım 2009,Dram,Star TV -  (2009),Serhat Tutumluer -  - Başak Köklükaya -  - Hakan Balamir -  - Şerif Sezer
Bir Annenin Günahı,Limon Film Skala Yapım,Filiz Pakman,1,21 Kasım 2020 - 19 Aralık 2020,Dram,Kanal D,Özge Özberk -  - Musa Uzunlar -  - Emre Kınay -  - Mert Yazıcıoğlu -  - Simay Barlas -  - Pamir Pekin
Dur Yolcu,TRT,Hakan Şahin -  - İsmail Güneş,1,2008 - 2008,Dram -  - Savaş -  - Tarihî,TRT 1,Hazım Körmükçü -  - Selin Demiratar -  - Cem Kılıç -  - Ebru Kocaağa -  - Murat Soydan -  - Ahmet Yenilmez -  - Umut Özkan -  - Emre Tetikel
Sana Söz,O3 Medya,Şenol Sönmez,1,2 Kasım 2021 - 14 Aralık 2021,Dram -  - Polisiye,Star TV,Erkan Petekkaya -  - Nehir Erdoğan -  - Serkan Altunorak -  - Ayçin İnci -  - Emin Olcay
Deli Yürek,Sinegraf,Osman Sınav,4,5 Ekim 1998 - 24 Haziran 2002,Aksiyon -  - Dram -  - Politik,Show TV -  (1998-2001) -  - atv -  (2002),Kenan İmirzalıoğlu -  - Zeynep Tokuş -  - Melda Bekcan -  - Demir Karahan -  - Kürşat Alnıaçık -  - Ali Sürmeli -  - Selçuk Yöntem
Yalancılar ve Mumları,Medyapım,Burak Arlıel,1,3 Ekim 2021 - 31 Ekim 2021,Dram -  - Romantik -  - Gerilim,FOX,Elçin Sangu -  - Ceren Moray -  - Şafak Pekdemir
Bir Peri Masalı,Medyapım,Merve Çolak -  - (1-13) -  - Çağıl Bocut -  - (1),1,28 Eylül 2022 - 27 Aralık 2022,Dram,FOX,Alina Boz -  - Taro Emir Tekin -  - Hazal Filiz Küçükköse -  - Nazan Kesal
Sultan,İstanbul Mass Media,Azime Kanal -  - Şengül Halat,1,28 Mayıs 2012  ( 2012-05-28 )  - 29 Ekim 2012,Dram -  - Komedi,Kanal D -  ( - HD - ),Nurgül Yeşilçay -  - Şahin Irmak -  - Merve Altınkaya -  - Nur Sürer -  - Settar Tanrıöğen -  - Hande Dane -  - Seray Gözler -  - Hüseyin Karaca -  - Orhan Şimşek -  - Orhan Güner
Mahkum,MF Yapım,Volkan Kocatürk -  - (1-24) -  - Özgür Sevimli -  - (25-31),2,14 Aralık 2021 - 29 Ekim 2022,Aksiyon -  - Dram,FOX,Onur Tuna -  - İsmail Hacıoğlu -  - Seray Kaya -  - Melike İpek Yalova -  - Gökçe Eyüboğlu
Kaçın Kurası,NTC Medya,İnci Balbanoğlu -  - Elmas Balbanoğlu,1,23 Eylül 2016 - 14 Ekim 2016,Aşk -  - Romantik komedi,atv,Selin Şekerci -  - Serhat Teoman -  - İbrahim Kendirci -  - Açelya Devrim Yılhan -  - Burak Tamdoğan -  - Burcu Altın -  - Köksal Engür
Anladık Oldu Teşekkürler,Süreç Film Zodyak Productions,Sinan Kaçar,1,22 Şubat 2013 [1],Komedi,MaxSmart Premium,Can Yücel Metin -  - Nefin Huvaj -  - Emre Şan -  - Fatih Özkan -  - Behre Övgü Özalp
Kayıp,D Productions,Zeynep Günay,1,13 Eylül 2013 - 27 Ocak 2014,Dram -  - Gerilim -  - Polisiye,Kanal D -  ( - HD - ),Mete Horozoğlu -  - Aslı Enver -  - İlker Kaleli -  - Kaan Taşaner -  - Dolunay Soysert
Azize,Süreç Film,Volkan Kocatürk,1,19 Kasım 2019 - 28 Aralık 2019,Dram,Kanal D,Hande Erçel -  - Buğra Gülsoy
Dokuz Oğuz,Gold Film,Cem Akyoldaş -  (1-5) -  - Bülent İşbilen -  (6),1,28 Ocak 2023 - 25 Mart 2023,Aksiyon -  - Dram,FOX,Kubilay Aka -  - Deniz Işın -  - Yasemin Allen
Kurtlar Vadisi,Sinegraf  (2003-2004)  Pana Film  (2004-2005),Osman Sınav -  (1-55)  -  - Mustafa Şevki Doğan -  (21-55)  -  - Serdar Akar -  (56-97),4,15 Ocak 2003 - 29 Aralık 2005,Aksiyon -  - Dram -  - Politik,Show TV -  (2003-2005)  -  - Kanal D -  (2005),Necati Şaşmaz -  - Özgü Namal -  - Selçuk Yöntem -  - Oktay Kaynarca -  - Zafer Ergin -  - Gürkan Uygun
Aslan Ailem,Es Film,Başak Soysal,1,22 Ekim 2017 - 20 Mayıs 2018,Dram -  - Komedi -  - Aşk,TRT 1,Burcu Özberk -  - Akın Akınözü -  - Zerrin Sümer -  - Ferdi Sancar -  - Benian Dönmez -  - Hakan Salınmış -  - Can Kolukısa
Şahane Damat,Sinegraf,Raşit Çelikezer,1,21 Haziran 2016 - 23 Ağustos 2016,Romantik komedi -  - Aile,Star TV,Burcu Özberk -  - Ali Ersan Duru -  - Nükhet Duru -  - Erhan Yazıcıoğlu -  - Mesut Yılmaz -  - Hande Kaptan -  - Anıl İlter -  - Leyla Göksun -  - Köksal Engür -  - Selen Uçer -  - Mert Carim -  - Binnur Şerbetçioğlu
Ağlama Anne,Süreç Film,Feride Kaytan,1,7 Ekim 2018 - 30 Aralık 2018,Dram,atv,Birce Akalay -  - Cansel Elçin -  - Özlem Yılmaz
Doğruluk Ekseni,Ser Film,Taner Tunç,1,14 Ekim 2008  ( 2008-10-14 ) [1]  -  16 Haziran 2009  ( 2009-06-16 ),Dram,Samanyolu TV,Rahman Görede
Büyük Yalan,Gold Film [1],Yüksel Aksu -  - Adnan Güler,2,19 Kasım 2004  ( 2004-11-19 )  -  9 Haziran 2006  ( 2006-06-09 ),Drama,atv - [2],Emrah -  - Sinem Öztufan
Sensiz Olmuyor,Yağmur Ajans,Hakan Arslan -  - Taner Akvardar,1,2005 - 21 Ağustos 2005,Drama,Show TV -  (2005)  -  - Kanal D -  (2005),Özlem Conker -  - Yeliz Şar -  - Emre Altuğ -  - Okan Yalabık -  - İpek Tanrıyar -  - Ebru Gürsoy -  - Tayfun Çorağan -  - Zeynep Eronat -  - Mehmet Ali Kaptanlar -  - Ayşegül Uygurer -  - Kamil Sönmez -  - Bülent Şakrak -  - Durul Bazan -  - Mahir İpek -  - Onuryay Evrentan -  - Gülsüm Kamu -  - Aslan Altın
Üç Kadın,TRT,Atıf Yılmaz -  - Oğuz Yalçın -  - Çiğdem Sezgin,1,2005 - 2005,Dram,TRT 1,Fikret Hakan -  - İpek Tenolcay -  - Fatma Karanfil -  - Nefise Karatay -  - Murat Ünalmış -  - Suna Keskin -  - Zerrin Arbaş
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil -  - Ümit Volkan,2,17 Eylül 1991  ( 1991-09-17 )  -  9 Mart 1993  ( 1993-03-09 ),Komedi,Star TV -  (1991-1992) -  - HBB -  (1992-1993),Nezih Tuncay -  - Orçun Sonat -  - Yasemin Koşat -  - Ali Yalaz -  - Hadi Çaman -  - Halit Akçatepe -  - Gönül Tuncay -  - Ayşegül Uygurer
20 Dakika,Ay Yapım,Serdar Işık -  (1-5) -  - Ali Bilgin -  (6-25),1,1 Ocak 2013 - 27 Haziran 2013,Dram -  - Aksiyon,Star TV -  ( - HD - ),Tuba Büyüküstün -  - İlker Aksum -  - Fırat Çelik -  - Bülent Emin Yarar -  - Müjde Uzman -  - İpek Bilgin -  - Ayten Uncuoğlu -  - Cihat Tamer -  - Metin Çekmez
Öğretmen,Medyapım MF Yapım,Koray Kerimoğlu,1,4 Mart 2020 - 15 Kasım 2020,Gençlik -  - Psikolojik gerilim -  - Dram,FOX,İlker Kaleli -  - Ceren Moray -  - Afra Saraçoğlu -  - Serhat Kılıç -  - Serkan Keskin -  - Şerif Erol
Bizim Evin Halleri,TRT Focus Film,Tülay Eratalay -  - Tarık Alpagut -  - Cafer Özgül -  - [1],10,14 Şubat 2000 - 26 Aralık 2008,Aile -  - Komedi -  - Duygusal -  - Dram,TRT 1 -  (14 Şubat 2000-30 Haziran 2006) -  - Kanal 1 -  (9 Ekim 2006-27 Haziran 2008) -  - atv -  (1 Eylül 2008-26 Aralık 2008),Beyhan Saran -  - Meral Niron -  - Emel Göksu -  - Ayşe Nil Şamlıoğlu -  - Şahap Sayılgan -  - Nusret Çetinel -  - Pervin Ünalp -  - Burak Demir -  - Murat Demir -  - Ozan Şenozan -  - Berfu Öngören -  - Hülya Gülşen Irmak -  - Dilara Yalçın
Adını Sen Koy,Birsel Film (1. sezon) Karamel Yapım (1-4. sezon),Gül Güzelkaya -  - Atilla Cengiz -  - Irmak Çengel -  - Fulya Yavuzoğlu -  - Mahir Aktaş,4,19 Eylül 2016 - 13 Kasım 2018,Dram -  - Romantik,"TRT 1 -  - (2016-2017, 1. sezon) -  - Star TV -  - (2017-2018, 2 ve 3. sezon) -  - TV8 -  - (2018, 4. sezon)",Erkan Meriç -  - Hazal Subaşı -  - Cenk Torun -  - Deniz Durmaz
İlişki Durumu: Evli,MF Yapım,Bülent İşbilen,1,1 Ekim 2016 - 22 Ekim 2016,Aşk -  - Gençlik -  - Romantik komedi,Show TV -  ( - HD - ),Berk Oktay -  - Seren Şirince -  - Nurseli İdiz -  - Serenay Aktaş
Çemberimde Gül Oya,Avşar Film,Çağan Irmak,1,3 Eylül 2004 - 1 Temmuz 2005,Dram -  - Politik,Kanal D,Selda Alkor -  - Özge Özberk -  - Mehmet Ali Nuroğlu -  - Tuba Büyüküstün -  - Melisa Sözen -  - Suzan Aksoy -  - Şerif Sezer -  - Kenan Bal -  - Işıl Yücesoy
Canevim,Koliba Film,Adnan Güler,1,27 Mayıs 2019 - 30 Eylül 2019,Dram -  - Aile,atv,Aras Aydın -  - Biran Damla Yılmaz -  - Özgür Çevik -  - Burcu Tuna -  - Ezgi Şenler -  - Nihan Büyükağaç -  - Rıza Akın -  - Bedia Ener
Sırılsıklam,Ulus Production,Temel Gürsu,2,6 Ekim 1998 - 8 Haziran 2000,Drama -  - Macera,Show TV,İbrahim Erkal -  - Melis Yamalıoğlu -  - Süleyman Turan -  - Engin Koç -  - Canan Perver -  - Deniz Eroğlu -  - Yosi Mizrahi -  - Eşref Kolçak -  - Kuzey Vargın -  - Engin Günay -  - Şener Gezgen -  - Burçin Terzioğlu
Bahtiyar Ölmez,Nehir Yapım  (1-8) Baba Yapım  (9-19),Cem Tabak -  - Ufuk Hakan Eren -  - Kartal Çidamlı,1,11 Kasım 2017 - 24 Mart 2018,Komedi -  - Aksiyon,atv -  ( - HD - ),Yetkin Dikinciler -  - Hande Subaşı
Seddülbahir 32 Saat,Okur Film,Yasin Uslu,1,14 Ocak 2016  ( 2016-01-14 )  -  4 Şubat 2016  ( 2016-02-04 ),Tarihî -  - Dramatik,TRT 1,Okan Yalabık -  - İbrahim Çelikkol -  - Dolunay Soysert -  - Murat Ünalmış -  - İlker Aksum -  - Hakan Kurtaş -  - Giovanni Arvaneh -  - Uğur Güneş
Çatı Katı Aşk,Mia Yapım,Barış Yöş -  (1-3) -  - Fehmi Öztürk -  (3-8) -  - Şenol Sönmez -  (8-16),1,9 Temmuz 2020 - 24 Ekim 2020,Romantik komedi,Kanal D,Furkan Andıç -  - Ezgi Şenler -  - Selin Şekerci -  - Nilay Deniz -  - Yiğit Kirazcı
Ezel,Ay Yapım,Uluç Bayraktar,2,28 Eylül 2009 - 20 Haziran 2011,Aksiyon -  - Dram,Show TV -  (28 Eylül 2009-11 Ocak 2010) -  - atv -  (25 Ocak 2010-20 Haziran 2011),Kenan İmirzalıoğlu -  - Cansu Dere -  - Yiğit Özşener -  - Barış Falay -  - Tuncel Kurtiz -  - Haluk Bilginer
İnadına Aşk,Sinegraf,Osman Sınav -  - Yusuf Ömer Sınav,1,2 Temmuz 2015 - 3 Şubat 2016,Romantik komedi,FOX,Can Yaman -  - Açelya Topaloğlu -  - Nilay Duru -  - Eren Vurdem
Hayat Bazen Tatlıdır,Süreç Film,Hamdi Alkan,1,16 Ekim 2016 - 30 Nisan 2017,Dram -  - Komedi -  - Gençlik,Star TV,Birce Akalay -  - Ufuk Özkan -  - Kanbolat Görkem Arslan
Küstüm Çiçeği,Medya Skala,Kemal Uzun,1,16 Eylül 2010 - 1 Ocak 2011,Komedi -  - Aile,TRT 1,Salih Kalyon -  - Füsun Demirel -  - Ali Erkazan -  - Esra Ronabar -  - Engin Hepileri -  - Sezin Akbaşoğulları -  - Sezgi Mengi -  - Ayşenur Yazıcı -  - Sevim Gelenbe -  - Murat Cemcir -  - Aydoğan Oflu -  - Erdal Tosun -  - Nalan Gücüpek -  - Ayfer Dönmez -  - Emin Gürsoy -  - Zeynep Evrim Aydın -  - Kaya Akarsu
İz Peşinde,TRT,Hüseyin Karakaş,3,22 Ocak 1990 - 18 Ağustos 1995,Aksiyon -  - Dram -  - Duygusal -  - Gerilim -  - Macera -  - Polisiye,TRT 1 -  (1990-1991)  -  - Star TV -  (1995),Mehmet Aslantuğ -  - Erol Taş -  - Gülen Karaman -  - Osman Yağmurdereli -  - Serdar Bostancı -  - Bensu Orhunöz -  - Orsel Sonat
Bir İstanbul Masalı,TMC,Ömür Atay,2,18 Eylül 2003 - 13 Haziran 2005,Aşk -  - Drama,atv,Mehmet Aslantuğ -  - Ahu Türkpençe -  - Çetin Tekindor -  - Altan Erkekli -  - Arsen Gürzap -  - Vahide Perçin -  - İsmail Hacıoğlu -  - Ozan Güven
Beş Kardeş,Ay Yapım,Onur Ünlü,1,16 Şubat 2015 - 4 Ağustos 2015,Komedi,Kanal D -  ( - HD - ),Serkan Keskin -  - Osman Sonant -  - Tansu Biçer -  - Nadir Sarıbacak -  - Fatih Artman
Aile Saadeti,Fabrika Yapım,Cankat Ergin,1,14 Ağustos 2009 - 26 Eylül 2009,Aile -  - Komedi,atv,Yetkin Dikinciler -  - Engin Hepileri -  - Sibel Taşçıoğlu -  - Ayberk Atilla -  - Güzin Usta
Servet,Ortaks Yapım,Emir Khalilzadeh,1,12 Nisan 2018  ( 2018-04-12 )  -  3 Mayıs 2018  ( 2018-05-03 ),Dram,Show TV,Bahar Şahin -  - Yusuf Çim
İkizler Memo-Can,Erler Film,Erol Özlevi,1,27 Ekim 2018 - 8 Mayıs 2019,Komedi -  - Aile,Kanal D,Nehir Erdoğan -  - Özgürcan Çevik -  - Emir Berke Zincidi -  - Burak Hakkı -  - Tuğba Çınar -  - Atilla Saral
Aşağı Yukarı Yemişlililer,BKM Mutfak,Şahin Altuğ,1,10 Ağustos 2011 - 16 Ekim 2011,Komedi,atv,Şahin Irmak -  - Sülo  -  - Bülent Emrah Parlak -  - Mikail  -  - Murat Eken -  - Serhat  -  - Büşra Pekin -  - Menekşe  -  - Gülhan Tekin -  - Emine  -  - Burcu Gönder -  - Handan
Pulsar,Rüzgar Yapım,Ayşe Şule Bilgiç -  - Mustafa Yaşar -  - Serkan İpekören -  - Kartal Çidamlı,1,10 Haziran 2008 - 14 Ekim 2008,Aile,Star TV,Pulsar Von Juliet -  - Ayberk Koçar -  - Buket Dereoğlu -  - Kayra Şenocak -  - Ecem Uzun
Bir Deli Sevda,Pastel Film,Hakan İnan,1,5 Nisan 2017 - 17 Mayıs 2017,Dram -  - Aile -  - Aşk,Show TV,Erkan Kolçak Köstendil -  - Cansu Tosun -  - Erdinç Gülener -  - Deniz Uğur -  - Cankat Aydos -  - Esra Kızıldoğan -  - Itır Esen -  - Zafer Algöz -  - Erkan Can
Tutunamayanlar,İstanbul Medya Akademisi Neden Film,Murad Zaloğlu -  - Osman Nail Doğan,1,7 Ocak 2020 - 2 Haziran 2020,Absürt komedi,TRT 1,Doğu Demirkol -  - Ece Çeşmioğlu -  - Zafer Algöz -  - Barış Yıldız -  - Bora Akkaş
Kalk Gidelim,Staff Film,Hatice Memiş -  - Mustafa Şevki Doğan -  - Tuğçe Küçükkalıpçı,4,18 Kasım 2017 - 31 Aralık 2020,Dram -  - Komedi -  - Aile,TRT 1,Ufuk Özkan -  - Erkan Sever -  - Ayça Varlıer -  - Mehtap Bayri -  - Beyazıt Gülercan
Aynadaki Düşman,Rumeli Film,Hakan Kurşun,1,18 Nisan 2009 - 11 Temmuz 2009,Dram -  - Aksiyon,TRT 1,Şafak Sezer -  - Haluk Piyes -  - Barış Kılıç -  - Mine Tugay -  - Mahir Günşiray -  - Fadik Sevin Atasoy
Küçük Kadınlar,D Productions,Hakan Arslan,3,10 Haziran 2008 - 13 Mart 2011,Dram,Kanal D -  (2008-2010) -  - Star TV -  (2010-2011),Özge Borak -  - Hande Soral -  - Fulya Zenginer -  - Ekin Türkmen -  - Elit İşcan -  - Selin Ilgar -  - Ali İl -  - Birsen Dürülü -  - Ahmet Tansu Taşanlar -  - Nur Hayat Boz -  - Kıvanç Kasabalı -  - Ahmet Levendoğlu -  - Burak Sağyaşar -  - Simge Selçuk -  - Hülya Şen -  - Cevdet Arıcılar -  - Ayşegül Günay -  - Duygu Keser -  - Emre Tetikel -  - Kemal Pekser
Umuda Kelepçe Vurulmaz,Bi Yapım Prodüksiyon,Cemal Şan,1,3 Kasım 2016  ( 2016-11-03 )  -  9 Şubat 2017  ( 2017-02-09 ),Dram -  - Gençlik,FOX,Begüm Birgören -  - Özge Özder -  - Mert Yazıcıoğlu -  - Melisa Şenolsun -  - Burak Dakak
Yuva,TRT,Mehmet Taşdiken,1,12 Nisan 1990  ( 1990-04-12 ) [1]  -  28 Haziran 1990  ( 1990-06-28 ) [2],Duygusal -  - Aile,TRT 1,Tamer Yiğit -  - Sema Çelebi -  - Muhterem Nur -  - Mesut Çakarlı -  - Tunç Güntay -  - Kuzey Vargın -  - Nazan Saatçi
Adı Mutluluk,Süreç Film,Ersoy Özlevi,1,23 Haziran 2015 - 13 Ekim 2015,Gençlik -  - Dram -  - Romantik komedi,FOX,Ezgi Eyüboğlu -  - Dilara Aksüyek -  - Kaan Yıldırım
